review,most_common_label,agreement_ratio,all_labels
A decent place. You can eat as a family. You can eat many kinds of fish as grilled; fried or stewed.,trustworthy,0.6666666666666666,"['trustworthy', 'trustworthy', 'trustworthy', 'trustworthy', 'good', 'good', 'trustworthy', 'decent', 'trustworthy']"
A delicious doner.,trustworthy,0.7777777777777778,"['trustworthy', 'trustworthy', 'trustworthy', 'trustworthy', 'great pizza', 'good', 'trustworthy', 'trustworthy', 'trustworthy']"
A good kebab place. The meat is very good; tasty; the meat is well cooked. The treats are sufficient and tasty.,trustworthy,0.6666666666666666,"['trustworthy', 'trustworthy', 'trustworthy', 'trustworthy', 'good', 'good', 'trustworthy', 'positive', 'trustworthy']"
Appetizers were good. The size of the lahmacun was good; Even though I ordered spicy; it came painless.,trustworthy,0.6666666666666666,"['trustworthy', 'trustworthy', 'trustworthy', 'trustworthy', 'good', 'good', 'trustworthy', 'positive', 'trustworthy']"
As we were passing on the road; it was pleasing to our eyes and we dived in. It was good overall.,trustworthy,0.5555555555555556,"['trustworthy', 'trustworthy', 'trustworthy', 'trustworthy', 'good', 'good', 'trustworthy', 'reliable', 'advertisement']"
Asian salmon pastas and salad varieties are very successful. They have not neglected to share the secret of their taste.,trustworthy,0.7777777777777778,"['trustworthy', 'trustworthy', 'trustworthy', 'trustworthy', 'food', 'advertisement', 'trustworthy', 'trustworthy', 'trustworthy']"
Be sure to ask for all prices in advance. You'd definitely get charged triple the price and these guys will try to scam you in all possible ways. Including overcharging the market price; charging you for double the weight of the fish & serving you a half the fillet and all the bones to charge you for all that.,rant,0.3333333333333333,"['rant', 'rant', 'rant', 'trustworthy', 'bad', 'a rant', '[rant]', 'bad', 'a rant']"
Best pizza in the area; very crowded in weekends.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'best pizza in the area', ""i'm a fan!"", 'trustworthy', 'trustworthy', 'trustworthy']"
Bread; cheese; sausage all left incredible flavors on our palate. We recommend it to everyone who will go to Ayvalık.,trustworthy,0.7777777777777778,"['trustworthy', 'trustworthy', 'trustworthy', 'trustworthy', 'best pizza in town', 'excellent', 'trustworthy', 'trustworthy', 'trustworthy']"
Covered doner kebab pita is also really delicious in lahmacun with cubed cheddar... The attention and care of the employees is extraordinary.,trustworthy,0.7777777777777778,"['trustworthy', 'trustworthy', 'trustworthy', 'trustworthy', 'best pizza in town', 'excellent', 'trustworthy', 'trustworthy', 'trustworthy']"
Crispy and delicious toast.,trustworthy,0.6666666666666666,"['trustworthy', 'trustworthy', 'trustworthy', 'trustworthy', 'excellent', 'excellent', 'trustworthy', 'unreliable', 'trustworthy']"
DEFINITELY DO NOT COME. We came here for breakfast based on the reviews on the way. We said the breakfast called the village breakfast for 2 people. First of all; the employee greeted us disrespectfully; a thousand pieces falling off his face; reluctant movements etc. It didn't taste good either!,rant,0.4444444444444444,"['rant', 'rant', 'rant', 'rant', 'terrible', 'do not come', '[rant]', 'do not come', 'do not come']"
Definitely a good tripe soup; but I've had much better ones. Very clean place; prices are a bit expensive.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'trustworthy', 'trustworthy', 'relevant', 'trustworthy']"
