
review,most_common_label,agreement_ratio,all_labels
10 mussels + half a kokorec is 240TL. Also; the place smells like toilet.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'rant', 'bad', 'ignorant', '[advertising]', 'negative', 'untruthful']"
160-year-old Vefa Bozacisi has not lost its flavor. We can find filled bottles in many places; but it's different to come here and drink. It's definitely fresher to drink on the spot.Vefa Bozacısı,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', ""it's definitely fresher to drink on the spot"", ""it's definitely fresher to drink on the spot..."", 'trustworthy', 'trusted', 'trustworthy']"
2 appetizers 1 salad the smell of blood and the taste of meat were disgusting chicken and lamb were fine.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'rant', 'horrible', 'a rant', 'rant', 'negative', 'a rant']"
2 roasted meat on rice + a ayran and a compote; a total of :220 It was nice that it was better roasted than rice.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'ayran and compote', 'ayran', 'trustworthy', 'ayran', 'ayran']"
250 TL account was received for 1 portion of rice + kuru fasulye + ayran + Cola. Service and waiters are very bad.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'irrelevant', 'negative', 'ignorant', '[random]', 'negative', 'untruthful']"
4 people mixed menu with their own salad; 750 TL. For those who say price is not a problem. Meat tastes excellent. There is a parking lot.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'a rant', 'trustworthy', 'relevant', 'trustworthy']"
5-10 min walk from the Louvre (depending on which side you come from). I ate really delicious things. I would definitely recommend.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'best pizza in town', 'i would definitely recommend this place!', 'trustworthy', 'trusted', 'trustworthy']"
A bakery and Patisserie that offers quality; delicious and plenty of options.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'best', 'good', 'trustworthy', 'trustworthy', 'trustworthy']"
A cafe where books and coffee are combined very well.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'good', 'trustworthy', 'good', 'trustworthy']"
A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'best pizza in town', 'good', 'trustworthy', 'trustworthy', 'trustworthy']"
A classy place in Karaköy with its white cloth and good service. Liver lovers should definitely try the liver pan.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'good', 'trustworthy', 'good', 'trustworthy']"
A decent place where you can dine under the trees; accompanied by the moonlight. Employees are friendly.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'good', 'trustworthy', 'good', 'trustworthy']"
A decent place where you can taste local dishes in Cappadocia. You can even go just to try the stuffed zucchini flowers.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'good', 'trustworthy', 'good', 'trustworthy']"
A decent place. You can eat as a family. You can eat many kinds of fish as grilled; fried or stewed.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'good', 'trustworthy', 'good', 'trustworthy']"
A delicious and clean place.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'love it', 'good', 'trustworthy', 'trustworthy', 'trustworthy']"
A delicious doner.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'loved it', 'good', 'trustworthy', 'trustworthy', 'trustworthy']"
A delicious masterpiece comes out when it is made in a Parmesan wheel; made with fresh pasta dough by hand; and with its beautiful sauces. The price is also quite reasonable.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'best pizza in town', 'good', 'trustworthy', 'trusted', 'trustworthy']"
A delicious udon that you can enjoy even in the middle of summer! It was very hot; cramped and crowded with people and I had two bowls of udon and a side dish with two bottles of booze.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'best in town', 'idk', 'trustworthy', 'good', 'trustworthy']"
A fast food restaurant with very friendly staff. It didn't appeal to my taste at all. Undercooked dough and lint meat.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'rant', 'bad', 'ignorant', 'rant', 'negative', 'unsatisfactory']"
A full student meal. The price is cheap and the taste is high.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'good', 'trustworthy', 'trustworthy', 'trustworthy']"
A good kebab place. The meat is very good; tasty; the meat is well cooked. The treats are sufficient and tasty.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'good', 'trustworthy', 'positive', 'trustworthy']"
"A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.",uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'great', 'good', 'trustworthy', 'trusted', 'trustworthy']"
A great starbucks branch located in Bodrum center / bazaar / port. It's great because the layout; the environment; the place and the service are very successful.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'great', 'good', 'trustworthy', 'positive', 'trustworthy']"
A great taste. I went on recommendation; it was really true. I also recommend it to you.,trustworthy,0.5555555555555556,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'great taste', 'trustworthy', 'trustworthy', 'trustworthy', 'trustworthy']"
A historical place intertwined with history. The business is clean and tidy. The staff is very caring.,trustworthy,0.5555555555555556,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'trustworthy', 'trustworthy', 'trustworthy', 'trustworthy']"
A large spacious place. If you want; you can relax inside and have something to drink.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'great place to eat', 'good', 'trustworthy', 'positive', 'trustworthy']"
A must try place. It is possible to become addicted afterward.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'best pizza in town', 'a must try place. it is possible to become addicted afterward', 'trustworthy', 'trustworthy', 'trustworthy']"
A nice cozy place. It is easily accessible from all parts of the city. It is very interesting that the restaurant does not have a menu.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'nice', 'good', 'trustworthy', 'positive', 'trustworthy']"
A nice place to drink coffee while reading a book. My meat dish arrived cold first. When I reported this to the waiter; they warmed it up and brought it; and then the meat was dry. I did not see the interest that I expected.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'rant', 'not enough information', 'a rant', 'trustworthy', 'negative', 'rant']"
A nice place where you can taste examples of Korean cuisine. The closest taste to Turkish cuisine on the menu. Traditional chicken. Prices are very reasonable.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'good', 'trustworthy', 'positive', 'trustworthy']"
A perfect view; a friendly and sincere service and great tastes...what more could you ask for?,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'great pizza', 'excellent', 'trustworthy', 'trustworthy', 'trustworthy']"
A place that makes unorthodox burgers in Samsun. The hamburger bread is big and wide with lots of sesame seeds.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', '[advertising]', 'good', 'advertisement', 'trustworthy', 'trustworthy', 'trustworthy']"
A place we found by chance during the winter season. First of all; we sat down to drink coffee and the environment was so spacious and calm that I was able to hold a meeting that I had to do over the web without any problems.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'great place to eat', 'excellent', 'trustworthy', 'trustworthy', 'trustworthy']"
A place we stopped by for breakfast on the way. The place has a beautiful view of Köyceğiz lake. The owner is very sweet and helped us with everything.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'great place', 'trustworthy', 'trustworthy', 'positive', 'trustworthy']"
A place where you pay for the view. In general; although the breakfast is good; 80tl per person for two people 160tl is a bit high.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'advertorial', 'average', 'irrational', 'rant', 'negative', 'trustworthy']"
A place with a nice ambiance and delicious sushi. It may be called expensive; but unfortunately; the taste is not affordable.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', '[advertising]', 'not a place to go', 'irrational', 'trustworthy', 'negative', 'rant']"
A pleasant place with a beach; delicious food,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'nice place', 'a pleasant place with a beach; delicious food!', 'trustworthy', 'positive', 'trustworthy']"
A restaurant that has lost its previous refinement. Lahmacun as seen in the photo. The service is slow. I recommend a little more wannabe and attention.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'negative', 'not very good', 'rant', 'rant', 'negative', 'rant']"
A restaurant where you can eat amazing seafood in a great atmosphere in Bursa. Its taste will really surprise you. I would like to remind you that there is no Alcohol in the restaurant. Bon appetit now!,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'best restaurant in town', 'advertisement', 'trustworthy', 'trusted', 'trustworthy']"
A restaurant with a beautiful view. It was nice to have breakfast with this view. The only problem was that the place was a little dirty.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'beautiful', 'good', 'trustworthy', 'positive', 'trustworthy']"
A successful business. It's pretty good in food. Prices could be a little more reasonable.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'good', 'a successful business', 'trustworthy', 'good', 'trustworthy']"
A taste that hasn't changed for years with its legendary view and taste!,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'best pizza in town', 'authentic', 'trustworthy', 'trustworthy', 'trustworthy']"
A very authentic place; its roasted meat and bean on the rice is legendary… 1 portion is enough.. The taste of the compote they serve is indispensable…,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'authentic', 'authentic', 'trustworthy', 'trusted', 'trustworthy']"
A very nice place; five stars as the location. If it is the flavor you are looking for; you may not find the exact flavor that you want.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'five stars', 'five stars', 'trustworthy', 'good', 'trustworthy']"
A very pleasant and quiet restaurant. Most importantly; the food is great. Everything I tasted was delicious.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'great', 'good', 'trustworthy', 'trustworthy', 'trustworthy']"
A very small hamburger. I can say that there are places where you can eat bigger and delicious hamburger menus for cheaper. The place is very busy and small. Finding a place to sit is a miracle.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'advertorial', 'small', 'ignorant', '[advertising]', 'negative', 'not worth the money']"
A very well designed cafe; The library looks very stylish. The menu is as you can see in the photo.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'very well-designed', 'good', 'trustworthy', 'good', 'trustworthy']"
Absolutely perfect come try it..,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'best pizza in town', 'advertisement', '[advertising]', 'trustworthy', 'advertisement']"
Affordable prices. Recommend.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'recommendation', 'best pizza in town', 'a recommendation', 'trustworthy', 'trustworthy', 'trustworthy']"
After waiting for about 20 minutes; we were able to eat Classic Ayvalık Toast. It was delicious and crunchy.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'best pizza in town', 'good', 'trustworthy', 'trustworthy', 'trustworthy']"
Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'advertisements', 'expensive', 'a rant', '[advertisment]', 'rant', 'rant']"
All meals were successful; I recommend.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'five stars', 'i recommend', 'trustworthy', 'trustworthy', 'trustworthy']"
All the food that came to the table was very high quality and delicious. I recommend it to everyone.,trustworthy,0.4444444444444444,"['uncertain', 'uncertain', 'uncertain', 'trustworthy', 'high quality', 'i recommend', 'trustworthy', 'trustworthy', 'trustworthy']"
Although far easts foods suits my taste; Tom Yum soup was very aromatic and different; I didn't like it.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'irrelevant', 'disappointing', 'rant', 'rant', 'relevant', 'rant']"
Although it is a classic; its products are ordinary. Prices are expensive for the quality.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', 'advertorial', 'disadvantages', 'advertisements', 'trustworthy', 'negative', 'rant']"
Although it is not as much as an urfa; it is the only place that can eat liver under samsun conditions. Appetizers can be improved. There should definitely be green mint next to the liver; arugula does not suit the liver.,uncertain,0.3333333333333333,"['uncertain', 'uncertain', 'uncertain', '[truthful]', 'bad', 'not as much as an urfa; it is the only place that can eat liver under samsun conditions. appetizers can be improved. there should definitely be green mint next to the liver.', 'trustworthy', 'positive', 'trustworthy']"
